,filename,time_difference
83,flevopark_4_audio1_2021-12-11_07-23-10_(9).flac,-571070.0
84,flevopark_4_audio1_2021-12-11_16-00-00_(10).flac,-603469.5
85,flevopark_4_audio1_2021-12-11_18-23-10_(11).flac,-612059.5
86,flevopark_4_audio1_2021-12-11_20-46-20_(12).flac,-618565.0
87,flevopark_4_audio1_2021-12-12_05-00-00_(13).flac,-650269.5
88,flevopark_4_audio1_2021-12-12_07-23-10_(14).flac,-657470.0
89,flevopark_4_audio1_2021-12-12_16-00-00_(15).flac,-689869.5
90,flevopark_4_audio1_2021-12-12_18-23-10_(16).flac,-698459.5
91,flevopark_4_audio1_2021-12-12_20-46-20_(17).flac,-704965.0
92,flevopark_4_audio1_2021-12-13_05-00-00_(18).flac,-736669.5
93,flevopark_4_audio1_2021-12-13_07-23-10_(19).flac,-743870.0
94,flevopark_4_audio1_2021-12-13_16-00-00_(20).flac,-776269.5
95,flevopark_4_audio1_2021-12-13_18-23-10_(21).flac,-784859.5
96,flevopark_4_audio1_2021-12-13_20-46-20_(22).flac,-791365.0
97,flevopark_4_audio1_2021-12-14_05-00-00_(23).flac,-823069.5
98,flevopark_4_audio1_2021-12-14_07-23-10_(24).flac,-830270.0
99,flevopark_4_audio1_2021-12-14_16-00-00_(25).flac,-862669.5
100,flevopark_4_audio1_2021-12-14_18-23-10_(26).flac,-871259.5
101,flevopark_4_audio1_2021-12-14_20-46-21_(27).flac,-877765.5
102,flevopark_4_audio1_2021-12-15_05-00-00_(28).flac,-908108.35
103,flevopark_4_audio1_2021-12-15_16-00-00_(29).flac,-945474.5
104,flevopark_4_audio1_2021-12-16_05-00-00_(30).flac,-992030.3
105,flevopark_4_audio1_2021-12-16_16-00-00_(31).flac,-1035469.5
106,flevopark_4_audio1_2021-12-16_18-23-10_(32).flac,-1044059.5
107,flevopark_4_audio1_2021-12-16_20-46-20_(33).flac,-1050565.0
108,flevopark_4_audio1_2021-12-17_05-00-00_(34).flac,-1082269.5
109,flevopark_4_audio1_2021-12-17_07-23-10_(35).flac,-1089470.0
110,flevopark_4_audio1_2021-12-17_16-00-00_(36).flac,-1121869.5
111,flevopark_5_audio1_2021-12-16_16-00-00_(0).flac,-172565.5
112,flevopark_5_audio1_2021-12-16_18-23-10_(1).flac,-181155.5
113,flevopark_5_audio1_2021-12-16_20-46-20_(2).flac,-187661.0
114,flevopark_5_audio1_2021-12-17_05-00-00_(3).flac,-219365.5
115,flevopark_5_audio1_2021-12-17_07-23-10_(4).flac,-226566.0
116,flevopark_5_audio1_2021-12-21_16-00-00_(25).flac,-604565.5
117,flevopark_5_audio1_2021-12-21_18-23-11_(26).flac,-613156.5
118,flevopark_5_audio1_2021-12-21_20-46-21_(27).flac,-618432.1
119,flevopark_5_audio1_2021-12-22_05-00-00_(28).flac,-647705.65
120,flevopark_5_audio1_2021-12-22_16-00-00_(29).flac,-687149.9
121,flevopark_5_audio1_2021-12-23_05-00-00_(30).flac,-733896.85
122,flevopark_5_audio1_2021-12-23_16-00-00_(31).flac,-773400.05
123,flevopark_5_audio1_2021-12-24_05-00-00_(32).flac,-820229.55
124,flevopark_5_audio1_2021-12-24_16-00-00_(33).flac,-859734.05
125,flevopark_5_audio1_2021-12-25_05-00-00_(34).flac,-906468.0
126,flevopark_5_audio1_2021-12-25_16-00-00_(35).flac,-945975.95
127,flevopark_5_audio1_2021-12-26_05-00-00_(36).flac,-992717.0
128,flevopark_6_audio1_2021-12-09_16-00-00_(0).flac,-310187.5
129,flevopark_6_audio1_2021-12-09_18-23-10_(1).flac,-318777.5
130,flevopark_6_audio1_2021-12-09_20-46-20_(2).flac,-325283.0
131,flevopark_6_audio1_2021-12-10_05-00-00_(3).flac,-356987.5
